planet_name,discovery_year,discovery_facility,planet_mass_jupiter_mass,planet_mass_earth_mass,orbit_semi_major_axis_au,stellar_mass_solar,ra_deg,dec_deg,distance_pc
MOA-2012-BLG-006L b,2017,Multiple Observatories,8.40000000,2700.00000000,10.2000000000,0.490000,270.4429630,-29.1087780,5300.00000000
MOA-2012-BLG-505L b,2017,MOA,0.02110000,6.70000000,0.9000000000,0.100000,268.1430970,-32.0400925,7210.00000000
MOA-2016-BLG-227L b,2017,MOA,2.80000000,890.00000000,1.3900000000,0.290000,271.4737550,-27.7142868,6500.00000000
OGLE-2013-BLG-0132L b,2017,OGLE,0.29000000,92.00000000,3.6000000000,0.540000,269.7646180,-28.4210281,3900.00000000
OGLE-2013-BLG-1721L b,2017,OGLE,0.64000000,200.00000000,2.6000000000,0.460000,268.1265560,-30.2926941,6300.00000000
OGLE-2013-BLG-1761L b,2017,OGLE,2.70000000,860.00000000,1.8000000000,0.330000,268.4094850,-28.8952713,6900.00000000
OGLE-2016-BLG-0263L b,2017,OGLE,4.10000000,1300.00000000,5.4000000000,0.130000,269.8954160,-31.8186111,6500.00000000
OGLE-2016-BLG-0613L AB b,2017,OGLE,4.18000000,1330.00000000,6.4000000000,0.720000,269.2604060,-28.1161671,3410.00000000
OGLE-2016-BLG-1190L b,2017,OGLE,13.38000000,4253.00000000,2.1700000000,0.880000,269.7179260,-27.6135559,6770.00000000
OGLE-2016-BLG-1195L b,2017,OGLE,0.00450000,1.43000000,1.1600000000,0.078000,268.8479310,-30.2072506,3910.00000000
KMT-2016-BLG-0212L b,2018,KMTNet,18.00000000,5700.00000000,2.2000000000,0.480000,268.4392500,-29.0868889,6300.00000000
KMT-2016-BLG-1397L b,2018,KMTNet,7.00000000,2200.00000000,5.1000000000,0.450000,272.6646120,-24.8577385,6600.00000000
KMT-2016-BLG-1820L b,2018,KMTNet,4.57000000,1450.00000000,1.0800000000,0.039000,268.7647400,-29.5169201,6260.00000000
KMT-2016-BLG-2142L b,2018,KMTNet,15.49000000,4923.00000000,0.8300000000,0.073000,268.1120000,-29.3845615,7010.00000000
KMT-2017-BLG-0165L b,2018,KMTNet,0.11000000,34.00000000,3.4500000000,0.760000,269.6496667,-28.1336694,4530.00000000
MOA-2010-BLG-117L b,2018,MOA,0.54000000,170.00000000,2.4200000000,0.580000,271.9569700,-25.3446388,3500.00000000
MOA-2011-BLG-291L b,2018,MOA,0.05700000,18.00000000,0.6900000000,0.150000,268.8678890,-29.1706657,4400.00000000
MOA-2015-BLG-337L b,2018,MOA,0.10600000,33.70000000,0.2400000000,0.009400,271.9487000,-28.1702785,7100.00000000
MOA-2016-BLG-319L b,2018,MOA,0.62000000,200.00000000,0.9500000000,0.150000,268.7422180,-29.7504635,6800.00000000
OGLE-2011-BLG-0173L b,2018,OGLE,0.19000000,60.00000000,8.0000000000,0.410000,269.3157350,-28.2338619,6100.00000000
OGLE-2014-BLG-1722L b,2018,OGLE,0.17400000,55.30000000,1.5000000000,0.400000,268.7523800,-31.4690552,6400.00000000
OGLE-2014-BLG-1722L c,2018,OGLE,0.26300000,83.70000000,1.7000000000,0.400000,268.7523800,-31.4690552,6400.00000000
OGLE-2016-BLG-1266L b,2018,OGLE,12.00000000,3813.94088400,0.4300000000,0.015000,267.8535833,-29.7422500,3080.00000000
OGLE-2017-BLG-0173L b,2018,OGLE,0.01029000,3.26900000,3.9130000000,0.396000,267.9706120,-29.2713604,4705.00000000
OGLE-2017-BLG-0373L b,2018,OGLE,0.40100000,127.00000000,2.4240000000,0.248000,269.3294067,-31.9517231,5915.00000000
OGLE-2017-BLG-0482L b,2018,OGLE,0.02800000,9.00000000,1.8000000000,0.200000,269.0488890,-30.5283604,5800.00000000
OGLE-2017-BLG-1140L b,2018,OGLE,1.59000000,505.00000000,1.0200000000,0.211000,266.8830570,-24.5226669,
OGLE-2017-BLG-1434L b,2018,OGLE,0.01393834,4.43000000,1.1800000000,0.234000,268.2804667,-30.2456583,860.00000000
OGLE-2017-BLG-1522L b,2018,OGLE,0.75000000,240.00000000,0.5900000000,0.045000,270.3193660,-28.4619713,7490.00000000
TCP J05074264+2447555 b,2018,Multiple Observatories,0.06292704,20.00000000,0.9400000000,0.586000,76.9280000,24.7989611,505.00000000
UKIRT-2017-BLG-001L b,2018,Mauna Kea Observatory,1.28000000,407.00000000,4.1800000000,0.810000,266.6540830,-29.2113609,6300.00000000
KMT-2016-BLG-1107L b,2019,KMTNet,3.28300000,1043.00000000,0.3420000000,0.087000,266.4177500,-26.0318000,6651.00000000
KMT-2016-BLG-1836L b,2019,KMTNet,2.20000000,700.00000000,3.5000000000,0.490000,268.2503330,-30.0407500,7100.00000000
KMT-2017-BLG-1038L b,2019,KMTNet,2.00000000,640.00000000,1.8000000000,0.370000,266.1709170,-25.1430306,6000.00000000
KMT-2017-BLG-1146L b,2019,KMTNet,0.71000000,230.00000000,1.6000000000,0.330000,269.1058330,-33.1424694,6500.00000000
KMT-2018-BLG-1990L b,2019,KMTNet,0.34800000,111.00000000,0.7630000000,0.094000,268.4353750,-22.1525389,967.00000000
MOA-bin-29 b,2019,MOA,0.60000000,190.00000000,0.4800000000,0.030000,269.3759583,-29.7365639,7120.00000000
OGLE-2013-BLG-0911L b,2019,OGLE,9.51000000,3020.00000000,0.3900000000,0.290000,268.8832500,-29.2538333,3220.00000000
OGLE-2015-BLG-1649L b,2019,OGLE,2.54000000,807.00000000,2.0700000000,0.340000,271.2050417,-32.6330278,4230.00000000
OGLE-2015-BLG-1670L b,2019,OGLE,0.05630000,17.90000000,2.6200000000,0.550000,268.1587917,-28.5519167,6700.00000000
OGLE-2016-BLG-1067L b,2019,OGLE,0.43000000,140.00000000,1.7000000000,0.300000,273.2045000,-27.0126389,3730.00000000
OGLE-2018-BLG-0596L b,2019,OGLE,0.04383000,13.93000000,0.9700000000,0.231000,269.0555417,-29.1990833,5650.00000000
OGLE-2018-BLG-0740L b,2019,OGLE,4.80000000,1500.00000000,5.0000000000,1.000000,272.1769583,-29.8358056,3200.00000000
OGLE-2018-BLG-1011L b,2019,OGLE,1.80000000,570.00000000,1.8000000000,0.180000,269.0140000,-29.0828889,7100.00000000
OGLE-2018-BLG-1011L c,2019,OGLE,2.80000000,890.00000000,0.8000000000,0.180000,269.0140000,-29.0828889,7100.00000000
KMT-2016-BLG-2364L b,2020,KMTNet,3.93000000,1250.00000000,2.6300000000,0.500000,265.7156670,-27.4355611,6440.00000000
KMT-2016-BLG-2397L b,2020,KMTNet,2.63000000,836.00000000,3.6400000000,0.640000,266.2125420,-23.2013806,4880.00000000
KMT-2018-BLG-0029L b,2020,KMTNet,0.02390000,7.59000000,4.2700000000,1.140000,264.4694580,-27.9847000,3380.00000000
KMT-2018-BLG-0748L b,2020,KMTNet,0.19000000,60.00000000,0.6200000000,0.087000,267.8745000,-30.6463889,7300.00000000
KMT-2018-BLG-1292L b,2020,KMTNet,4.42000000,1400.00000000,6.0300000000,1.090000,263.4275830,-33.5206694,3460.00000000
KMT-2019-BLG-0842L b,2020,KMTNet,0.03234000,10.28000000,3.3100000000,0.760000,268.4584580,-29.8774389,3320.00000000
KMT-2019-BLG-1339L b,2020,KMTNet,1.25000000,397.00000000,2.1500000000,0.480000,265.7434170,-25.5739167,6120.00000000
KMT-2019-BLG-1953L b,2020,KMTNet,0.64000000,200.00000000,,0.310000,269.1162500,-28.2011111,7040.00000000
OGLE-2006-BLG-284L A b,2020,OGLE,0.45307467,144.00000000,2.1700000000,0.350000,269.6592500,-29.1366667,4000.00000000
OGLE-2012-BLG-0838L b,2020,OGLE,0.16700000,53.10000000,4.4300000000,0.400000,273.0030830,-25.7116111,6320.00000000
OGLE-2015-BLG-1771L b,2020,OGLE,0.43300000,138.00000000,0.8500000000,0.077000,268.7990000,-28.8627500,7070.00000000
OGLE-2016-BLG-1227L b,2020,OGLE,0.79000000,250.00000000,3.4000000000,0.100000,265.5971250,-33.7597778,
OGLE-2017-BLG-0406L b,2020,OGLE,0.41000000,130.00000000,3.5000000000,0.560000,268.9996670,-29.8631389,5200.00000000
OGLE-2017-BLG-0604L b,2020,OGLE,0.51000000,160.00000000,4.0600000000,0.700000,267.8916670,-30.9465556,3950.00000000
OGLE-2017-BLG-1049L b,2020,OGLE,5.53000000,1760.00000000,3.9200000000,0.550000,269.5335420,-27.1442222,5670.00000000
OGLE-2017-BLG-1375L b,2020,OGLE,11.28000000,3585.00000000,3.0400000000,0.810000,269.1548750,-30.3114167,3930.00000000
OGLE-2018-BLG-0532L b,2020,OGLE,0.01959548,6.22800000,1.0640000000,0.195000,269.9834167,-28.9977500,773.00000000
OGLE-2018-BLG-0677L b,2020,OGLE,0.01250000,3.96000000,0.6300000000,0.120000,268.7511250,-32.0165306,7580.00000000
OGLE-2018-BLG-1269L b,2020,OGLE,0.67000000,210.00000000,4.5100000000,1.110000,269.6934170,-27.6179444,2510.00000000
OGLE-2018-BLG-1700L b,2020,OGLE,4.40000000,1400.00000000,2.8000000000,0.420000,269.9560420,-28.5286389,7600.00000000
KMT-2016-BLG-2605L b,2021,KMTNet,0.77100000,245.04570180,0.6810000000,0.064000,269.8230833,-26.9820000,6421.00000000
KMT-2017-BLG-2509L b,2021,KMTNet,2.09000000,664.26137063,2.1400000000,0.460000,265.5898750,-26.3171500,7040.00000000
KMT-2018-BLG-1025L b,2021,KMTNet,0.01906375,6.05900000,1.3050000000,0.219000,269.8664167,-27.8780611,6705.00000000
KMT-2018-BLG-1743L b,2021,KMTNet,0.24500000,77.86795971,1.4490000000,0.193000,274.2833750,-26.3596389,6483.00000000
KMT-2018-BLG-1976L b,2021,KMTNet,2.22000000,705.57906354,3.5400000000,0.650000,266.3546667,-35.7003306,5840.00000000
KMT-2018-BLG-1996L b,2021,KMTNet,1.09000000,346.43296363,4.2700000000,0.690000,268.6785000,-22.8204111,5910.00000000
KMT-2019-BLG-0371L b,2021,KMTNet,7.70000000,2447.27873390,0.7900000000,0.090000,268.3839167,-31.5550222,7010.00000000
KMT-2019-BLG-1715L b,2021,KMTNet,2.56000000,813.64072192,3.3200000000,0.610000,270.3717083,-28.7771389,3860.00000000
KMT-2020-BLG-0414L b,2021,KMTNet,0.00588368,1.87000000,2.0700000000,0.490000,271.9150000,-28.4852222,1220.00000000
KMT-2020-BLG-0414L c,2021,KMTNet,27.00000000,8581.36698900,22.3000000000,0.490000,271.9150000,-28.4852222,1220.00000000
KMT-2021-BLG-0322L b,2021,KMTNet,6.40000000,2034.10180480,,0.620000,270.9116667,-29.6043889,6600.00000000
OGLE-2017-BLG-1099L b,2021,OGLE,3.02000000,959.84178914,2.7300000000,0.450000,263.9642500,-29.5858611,7250.00000000
OGLE-2018-BLG-0567L b,2021,OGLE,0.32000000,101.70509024,2.7200000000,0.250000,269.0184167,-27.9871111,7060.00000000
OGLE-2018-BLG-0962L b,2021,OGLE,1.34000000,425.89006538,3.5900000000,0.540000,268.1747917,-32.3092500,6500.00000000
OGLE-2018-BLG-1185L b,2021,OGLE,0.02642936,8.40000000,1.5400000000,0.370000,269.7927500,-27.8350833,7400.00000000
OGLE-2018-BLG-1428L b,2021,OGLE,0.77000000,240.00000000,3.3000000000,0.430000,265.5487080,-26.1378889,6220.00000000
OGLE-2019-BLG-0299L b,2021,OGLE,6.22000000,1976.89269154,2.8000000000,0.590000,266.6794583,-23.5843111,5830.00000000
OGLE-2019-BLG-0304L b,2021,OGLE,0.51000000,162.09248757,1.2300000000,0.270000,264.0267083,-26.1459889,6980.00000000
OGLE-2019-BLG-0954L b,2021,OGLE,14.20000000,4513.16337940,2.6500000000,0.800000,267.9132500,-29.6110000,3630.00000000
OGLE-2019-BLG-0960L b,2021,OGLE,0.00786588,2.50000000,1.9000000000,0.500000,274.0142917,-25.7746667,980.00000000
OGLE-2019-BLG-1053L b,2021,KMTNet,0.00780295,2.48000000,3.4000000000,0.610000,270.1663750,-27.3415833,6800.00000000
KMT-2017-BLG-0673L b,2022,KMTNet,3.67000000,1166.43025369,2.3400000000,0.630000,264.7570417,-33.8080278,5080.00000000
KMT-2018-BLG-0030L b,2022,KMTNet,1.45000000,460.85119015,4.3900000000,0.510000,264.5166667,-28.0416250,6480.00000000
KMT-2018-BLG-0087L b,2022,KMTNet,0.23000000,73.10053361,0.8700000000,0.100000,264.3270000,-27.8320611,7020.00000000
KMT-2018-BLG-0247L b,2022,KMTNet,2.11000000,670.61793877,2.4600000000,0.290000,264.5600417,-27.1504111,6760.00000000
KMT-2018-BLG-1988L b,2022,KMTNet,0.01749372,5.56000000,3.0900000000,0.470000,265.2825417,-35.5947000,4150.00000000
KMT-2018-BLG-2602L b,2022,KMTNet,1.15000000,365.50266805,3.8100000000,0.660000,267.3970417,-21.9762000,4310.00000000
KMT-2019-BLG-0253L b,2022,KMTNet,0.02894644,9.20000000,3.1000000000,0.700000,267.8825833,-29.5654722,4900.00000000
KMT-2019-BLG-0414L b,2022,KMTNet,4.57000000,1452.47581999,1.1600000000,0.740000,268.8529167,-21.8955389,4410.00000000
KMT-2019-BLG-0953L b,2022,KMTNet,0.04876845,15.50000000,1.1000000000,0.280000,269.3385833,-28.6746389,7200.00000000
KMT-2019-BLG-1042L b,2022,KMTNet,0.19000000,60.38739733,1.7000000000,0.300000,270.5440417,-27.5806694,6600.00000000
KMT-2019-BLG-1552L b,2022,KMTNet,4.05000000,1287.20504835,2.6000000000,0.790000,269.5957917,-27.5669389,4600.00000000
KMT-2019-BLG-2974L b,2022,KMTNet,0.28000000,88.99195396,2.0000000000,0.470000,267.8520833,-29.4231611,6100.00000000
KMT-2021-BLG-0119L b,2022,KMTNet,5.52000000,1754.41280664,2.9200000000,0.560000,274.0005417,-29.7438889,3130.00000000
KMT-2021-BLG-0171L b,2022,KMTNet,0.03523914,11.20000000,3.5000000000,0.780000,269.2416667,-30.0930556,4600.00000000
KMT-2021-BLG-0192L b,2022,KMTNet,0.11000000,34.96112477,1.6200000000,0.270000,268.1049583,-30.0086889,5120.00000000
KMT-2021-BLG-0240L b,2022,KMTNet,0.21000000,66.74396547,2.8000000000,0.560000,267.5772917,-30.0049694,6600.00000000
KMT-2021-BLG-0320L b,2022,KMTNet,0.10000000,31.78284070,1.5400000000,0.320000,269.3881250,-30.5039389,6950.00000000
KMT-2021-BLG-0748L b,2022,KMTNet,0.45000000,143.02278315,2.4300000000,0.360000,272.4213333,-25.7465806,6090.00000000
KMT-2021-BLG-0912L b,2022,KMTNet,0.00884125,2.81000000,3.1400000000,0.800000,269.8211667,-31.9976389,5560.00000000
KMT-2021-BLG-1077L b,2022,KMTNet,0.22000000,69.92224954,1.2600000000,0.140000,266.4891250,-33.8428111,8240.00000000
KMT-2021-BLG-1077L c,2022,KMTNet,0.25000000,79.45710175,0.9300000000,0.140000,266.4891250,-33.8428111,8240.00000000
KMT-2021-BLG-1253L b,2022,KMTNet,0.05993800,19.05000000,1.5200000000,0.240000,267.6172083,-29.2792806,6640.00000000
KMT-2021-BLG-1303L b,2022,KMTNet,0.38000000,120.77479466,2.8900000000,0.570000,271.8638750,-29.2815806,6280.00000000
KMT-2021-BLG-1372L b,2022,KMTNet,0.19277698,61.27000000,2.3700000000,0.420000,264.4885417,-28.1483889,5970.00000000
KMT-2021-BLG-1391L b,2022,KMTNet,0.01431590,4.55000000,2.2900000000,0.370000,270.6835833,-28.0605000,5720.00000000
KMT-2021-BLG-1554L b,2022,KMTNet,0.12000000,38.13940884,0.7200000000,0.080000,267.8034167,-31.8643611,7680.00000000
KMT-2021-BLG-1689L b,2022,KMTNet,0.14473219,46.00000000,2.5000000000,0.580000,269.5791667,-30.1452778,7200.00000000
KMT-2021-BLG-1898L b,2022,KMTNet,0.73000000,232.01473711,1.9000000000,0.480000,265.6918750,-27.3758389,6900.00000000
KMT-2021-BLG-2294L b,2022,KMTNet,0.07000000,22.24798849,1.1500000000,0.140000,270.0624167,-28.6124389,6800.00000000
MOA-2019-BLG-008L b,2022,MOA,18.00000000,5720.91132600,,0.900000,267.9828750,-29.9897306,2700.00000000
MOA-2020-BLG-135L b,2022,MOA,0.03555378,11.30000000,1.1100000000,0.230000,268.4235000,-29.8075667,7900.00000000
OGLE-2014-BLG-0319L b,2022,OGLE,0.57000000,181.16219199,3.4900000000,0.520000,266.9611667,-33.9350444,7730.00000000
OGLE-2016-BLG-1093L b,2022,OGLE,0.71000000,225.65816897,2.1300000000,0.460000,269.0042917,-32.7134722,8120.00000000
OGLE-2017-BLG-1691L b,2022,OGLE,0.04600000,14.62010672,2.4100000000,0.450000,263.5938333,-29.2848306,7290.00000000
OGLE-2018-BLG-0298L b,2022,OGLE,0.14000000,44.49597698,2.8600000000,0.690000,264.2845000,-29.7091111,6540.00000000
OGLE-2018-BLG-0383L b,2022,OGLE,0.02013665,6.40000000,1.8000000000,0.100000,268.6807500,-28.7392778,7700.00000000
OGLE-2018-BLG-0506L b,2022,OGLE,0.05128554,16.30000000,3.0000000000,0.630000,267.6298333,-31.9240556,5600.00000000
OGLE-2018-BLG-0516L b,2022,OGLE,0.06324167,20.10000000,2.2000000000,0.470000,269.6401250,-31.2623889,7000.00000000
OGLE-2018-BLG-0799L b,2022,OGLE,0.26000000,82.63538582,1.2800000000,0.093000,273.4590000,-25.4857222,4050.00000000
OGLE-2018-BLG-0932L b,2022,KMTNet,0.89000000,282.86728223,1.7500000000,0.720000,268.3512083,-29.0218056,6620.00000000
OGLE-2018-BLG-0977L b,2022,OGLE,0.02013665,6.40000000,2.0000000000,0.470000,268.5061250,-30.6048056,6500.00000000
OGLE-2018-BLG-1119L b,2022,OGLE,0.91000000,289.22385037,4.0600000000,0.480000,270.0292500,-32.3752778,5760.00000000
OGLE-2018-BLG-1126L b,2022,KMTNet,0.05600000,17.79839079,3.2300000000,0.690000,268.3558750,-31.7247194,5700.00000000
OGLE-2018-BLG-1212L b,2022,KMTNet,0.20000000,63.56568140,1.6800000000,0.160000,271.0776250,-28.1940833,1550.00000000
OGLE-2018-BLG-1367L b,2022,KMTNet,0.95000000,301.93698665,,0.280000,269.7556250,-29.1683611,5370.00000000
OGLE-2018-BLG-1647L b,2022,KMTNet,0.97000000,308.29355479,1.3600000000,0.092000,268.9623750,-31.8170000,7880.00000000
OGLE-2019-BLG-0362L b,2022,OGLE,3.26000000,1036.12060682,2.1800000000,0.420000,263.4652500,-24.8103611,5830.00000000
OGLE-2019-BLG-0468L b,2022,OGLE,3.43000000,1090.15143601,3.2900000000,0.920000,266.4060000,-24.4472778,4400.00000000
OGLE-2019-BLG-0468L c,2022,OGLE,10.22000000,3248.20631954,2.7700000000,0.920000,266.4060000,-24.4472778,4400.00000000
OGLE-2019-BLG-1470L AB c,2022,OGLE,2.20000000,699.22249540,3.2000000000,0.570000,271.9492083,-27.0335556,5900.00000000
OGLE-2019-BLG-1492L b,2022,OGLE,0.11672965,37.10000000,2.7000000000,0.680000,270.0964583,-28.6311389,5600.00000000
K2-2016-BLG-0005L b,2023,K2,1.10000000,349.61124770,4.1600000000,0.584000,269.8798333,-27.6074722,5200.00000000
KMT-2016-BLG-1105L b,2023,KMTNet,0.00729954,2.32000000,2.4400000000,0.410000,266.4472500,-26.2663694,5080.00000000
KMT-2017-BLG-0428L b,2023,KMTNet,0.01758811,5.59000000,1.8100000000,0.340000,271.3852500,-28.4902806,5400.00000000
KMT-2017-BLG-1003L b,2023,KMTNet,0.01632957,5.19000000,1.3800000000,0.320000,265.4115000,-24.3739389,7090.00000000
KMT-2017-BLG-1194L b,2023,KMTNet,0.01113809,3.54000000,1.7800000000,0.410000,274.3221250,-25.3239389,4240.00000000
KMT-2018-BLG-0885L b,2023,KMTNet,29.00000000,9217.02380300,1.0700000000,0.290000,268.9663333,-28.5133611,6890.00000000
KMT-2019-BLG-0297L b,2023,KMTNet,19.00000000,6038.73973300,0.9600000000,0.210000,270.0632917,-28.9652806,3090.00000000
KMT-2019-BLG-0298L b,2023,KMTNet,1.81000000,575.26941667,5.6700000000,0.700000,264.8780000,-27.6381389,6710.00000000
KMT-2019-BLG-0335L b,2023,KMTNet,21.00000000,6674.39654700,1.6400000000,0.320000,262.8401250,-29.5906889,7710.00000000
KMT-2019-BLG-1216L b,2023,KMTNet,0.09400000,29.87587026,2.4400000000,0.390000,268.4806250,-35.1366389,2740.00000000
KMT-2019-BLG-1367L b,2023,KMTNet,0.01283712,4.08000000,1.7000000000,0.250000,272.4713333,-29.7622111,4670.00000000
KMT-2019-BLG-1806L b,2023,KMTNet,0.01469346,4.67000000,3.0200000000,0.740000,270.5375417,-29.4148889,6640.00000000
KMT-2019-BLG-2783L b,2023,KMTNet,1.16000000,368.68095212,1.8500000000,0.340000,269.2919167,-33.7885194,5910.00000000
KMT-2021-BLG-0712L b,2023,KMTNet,0.12015918,38.19000000,2.2200000000,0.220000,269.2856667,-31.1844694,3090.00000000
KMT-2021-BLG-0909L b,2023,KMTNet,1.26000000,400.46379282,1.7500000000,0.380000,265.6202083,-27.6391389,6480.00000000
KMT-2021-BLG-1105L b,2023,KMTNet,1.30000000,413.17692910,3.5400000000,0.630000,265.7322500,-25.5089111,4540.00000000
KMT-2021-BLG-1150L b,2023,KMTNet,0.88000000,279.68899816,4.5000000000,0.730000,268.7901250,-31.3133306,3800.00000000
KMT-2021-BLG-1547L b,2023,KMTNet,1.47000000,467.20775829,4.5000000000,0.720000,272.3995833,-29.0839389,5070.00000000
KMT-2021-BLG-1770L b,2023,KMTNet,21.00000000,6674.39654700,0.9000000000,0.130000,270.4399583,-27.4186694,6920.00000000
