planet_name,discovery_year,discovery_facility,planet_mass_jupiter_mass,planet_mass_earth_mass,orbit_semi_major_axis_au,stellar_mass_solar,ra_deg,dec_deg,distance_pc
KMT-2021-BLG-2010L b,2023,KMTNet,1.07000000,340.07639549,1.7900000000,0.370000,268.0085000,-32.2697500,7090.00000000
KMT-2021-BLG-2478L b,2023,KMTNet,0.90000000,286.04556630,1.8500000000,0.200000,269.3092083,-29.1019694,2970.00000000
KMT-2022-BLG-0371L b,2023,KMTNet,0.26000000,82.63538582,3.0200000000,0.630000,265.3619167,-34.6986694,7140.00000000
KMT-2022-BLG-0440L b,2023,KMTNet,0.04845382,15.40000000,1.9000000000,0.530000,269.5835833,-32.2953056,3500.00000000
KMT-2022-BLG-1013L b,2023,KMTNet,0.31000000,98.52680617,1.3800000000,0.180000,264.7092500,-28.3556694,7710.00000000
MOA-2020-BLG-208L b,2023,MOA,0.14473219,46.00000000,2.7400000000,0.430000,268.4325000,-32.5893111,7490.00000000
MOA-2022-BLG-249L b,2023,MOA,0.01519688,4.83000000,1.6300000000,0.180000,268.8655417,-28.3060611,2000.00000000
OGLE-2017-BLG-1806L b,2023,OGLE,0.01658127,5.27000000,1.7500000000,0.380000,266.6232500,-24.2722694,6400.00000000
OGLE-2019-BLG-0249L b,2023,OGLE,7.12000000,2262.93825784,1.8400000000,0.910000,265.4035000,-34.7017500,6370.00000000
OGLE-2019-BLG-0679L b,2023,OGLE,3.34000000,1061.54687938,6.9900000000,0.660000,265.7404167,-27.7728806,5630.00000000
OGLE-2019-BLG-1180L b,2023,OGLE,1.74700000,555.24622703,5.1900000000,0.545000,269.2465417,-27.9754444,6070.00000000
Gaia22dkvL b,2024,European Space Agency (ESA) Gaia Satellite,0.59100000,187.83658854,1.4000000000,1.145000,151.7690000,-66.1808889,1270.00000000
KMT-2016-BLG-2321L b,2024,KMTNet,0.95000000,301.93698665,3.5800000000,0.730000,264.0579167,-25.5248806,3580.00000000
KMT-2017-BLG-0849L b,2024,KMTNet,0.02010519,6.39000000,2.7300000000,0.190000,265.3594583,-25.2812194,7220.00000000
KMT-2017-BLG-1057L b,2024,KMTNet,0.07393927,23.50000000,2.3600000000,0.570000,265.4860000,-22.3351111,6500.00000000
KMT-2017-BLG-2331L b,2024,KMTNet,0.53802617,171.00000000,2.1400000000,0.400000,264.4072083,-29.4612111,8030.00000000
KMT-2021-BLG-2609L b,2024,KMTNet,0.03200000,10.17050902,2.3000000000,0.200000,263.5188750,-27.5969389,7480.00000000
KMT-2022-BLG-0303L b,2024,KMTNet,0.51300000,163.04597279,4.8100000000,0.368000,268.0331250,-22.6890806,6570.00000000
KMT-2022-BLG-2286L b,2024,KMTNet,19.00000000,6038.73973300,2.0200000000,0.200000,269.1652500,-28.8549194,7320.00000000
KMT-2023-BLG-0416L b,2024,KMTNet,0.04100000,13.03096469,2.9600000000,0.630000,266.3240417,-25.0794889,5900.00000000
KMT-2023-BLG-0469L b,2024,KMTNet,0.12400000,39.41072247,2.3100000000,0.470000,269.4067917,-28.7150611,7070.00000000
KMT-2023-BLG-0735L b,2024,KMTNet,0.12200000,38.77506565,2.9600000000,0.610000,267.5759583,-29.2029194,6390.00000000
KMT-2023-BLG-1431L b,2024,KMTNet,0.04279039,13.60000000,3.2000000000,0.570000,271.1835417,-29.7439194,6800.00000000
KMT-2023-BLG-1454L b,2024,KMTNet,0.63000000,200.23189641,1.1800000000,0.170000,267.6200833,-29.6227500,7220.00000000
KMT-2023-BLG-1642L b,2024,KMTNet,1.08000000,343.25467956,1.4100000000,0.170000,261.3660000,-29.0584694,6980.00000000
KMT-2023-BLG-1743L b,2024,KMTNet,20.00000000,6356.56814000,1.1600000000,0.110000,269.1652500,-28.8549194,7130.00000000
KMT-2023-BLG-1866L b,2024,KMTNet,0.00827491,2.63000000,2.6300000000,0.510000,273.4822500,-28.4473889,6210.00000000
KMT-2024-BLG-1044L b,2024,KMTNet,0.02438423,7.75000000,,0.069000,271.5640000,-27.5925806,7140.00000000
MOA-2016-BLG-526L b,2024,MOA,0.04700000,14.93793513,2.0700000000,0.370000,266.6682917,-34.3860806,6930.00000000
MOA-2022-BLG-563L b,2024,MOA,0.40000000,127.13136280,2.1500000000,0.480000,270.3002083,-27.8358306,6530.00000000
OGLE-2014-BLG-0221L b,2024,OGLE,4.35000000,1382.55357045,3.7600000000,0.690000,270.3037500,-27.4267639,3680.00000000
OGLE-2016-BLG-1598L b,2024,OGLE,0.38000000,120.77479466,2.5000000000,0.550000,270.1907500,-29.1754389,5910.00000000
OGLE-2016-BLG-1800L b,2024,OGLE,2.59000000,823.17557413,1.8800000000,0.410000,269.9032083,-30.8653611,6480.00000000
OGLE-2017-BLG-0364L b,2024,OGLE,0.23849347,75.80000000,3.7900000000,0.490000,265.2278750,-34.6175833,7860.00000000
OGLE-2017-BLG-0448L b,2024,OGLE,0.04908309,15.60000000,5.7500000000,0.500000,268.6686250,-31.0319167,7530.00000000
OGLE-2017-BLG-0640L b,2024,OGLE,1.62000000,514.88201934,1.1400000000,0.320000,267.4651250,-29.4615000,6630.00000000
OGLE-2017-BLG-1237L b,2024,OGLE,3.80000000,1207.74794660,2.5300000000,0.460000,271.6499583,-28.3288306,6030.00000000
OGLE-2017-BLG-1275L b,2024,OGLE,5.90000000,1875.18760130,2.0900000000,0.630000,267.9154167,-29.4979694,7690.00000000
OGLE-2023-BLG-0836L b,2024,OGLE,4.36000000,1385.73185452,3.7000000000,0.710000,267.1868750,-23.7415194,5120.00000000
AT2021ueyL b,2025,Multiple Observatories,1.34000000,425.89006538,4.0100000000,0.490000,324.5450417,26.4665694,1040.00000000
KMT-2017-BLG-2197L b,2025,KMTNet,8.84000000,2809.60311788,15.9100000000,0.360000,262.6113333,-30.1593111,7800.00000000
KMT-2019-BLG-0578L b,2025,KMTNet,1.20000000,381.39408840,2.0000000000,0.280000,269.4846667,-27.7948611,7300.00000000
KMT-2021-BLG-0736L b,2025,KMTNet,0.06607339,21.00000000,4.0000000000,0.600000,268.3225833,-29.7124194,7000.00000000
KMT-2022-BLG-1790L b,2025,KMTNet,1.73000000,549.84314411,5.2500000000,0.580000,271.0562500,-27.0347500,6480.00000000
KMT-2022-BLG-2076L b,2025,KMTNet,0.88000000,279.68899816,5.6700000000,0.670000,268.0511250,-29.0279306,5570.00000000
KMT-2023-BLG-0119L b,2025,KMTNet,0.26334965,83.70000000,3.1400000000,0.710000,266.8150417,-34.5721889,5410.00000000
KMT-2023-BLG-0548L b,2025,KMTNet,3.42000000,1086.97315194,6.8500000000,0.720000,270.3476250,-27.1067500,6830.00000000
KMT-2023-BLG-0830L b,2025,KMTNet,0.05600000,17.79839079,1.7000000000,0.220000,271.6579583,-28.3323111,7250.00000000
KMT-2023-BLG-0949L b,2025,KMTNet,5.98000000,1900.61387386,2.0300000000,0.480000,263.4194167,-28.0914611,6060.00000000
KMT-2023-BLG-1896L b,2025,KMTNet,0.05144285,16.35000000,2.8600000000,0.720000,271.0317500,-26.9589194,5490.00000000
KMT-2023-BLG-2209L b,2025,KMTNet,0.80000000,254.26272560,3.5100000000,0.730000,268.9942083,-29.3056694,5570.00000000
KMT-2024-BLG-0404L b,2025,KMTNet,27.24000000,8657.64580668,0.8500000000,0.090000,271.1470833,-27.9535000,7210.00000000
KMT-2024-BLG-0404L c,2025,KMTNet,0.05443189,17.30000000,,0.090000,271.1470833,-27.9535000,7210.00000000
KMT-2024-BLG-1005L b,2025,KMTNet,21.00000000,6674.39654700,0.7800000000,0.055000,269.8055833,-28.7557806,6950.00000000
KMT-2024-BLG-1209L b,2025,KMTNet,2.64000000,839.06699448,2.5100000000,0.770000,261.6129583,-28.1205611,3930.00000000
KMT-2024-BLG-1281L b,2025,KMTNet,0.06000000,19.06970442,1.9600000000,0.320000,270.1693750,-32.7142500,7180.00000000
KMT-2024-BLG-2059L b,2025,KMTNet,0.02200000,6.99222495,2.5500000000,0.510000,270.9297500,-28.5681889,6070.00000000
KMT-2024-BLG-2242L b,2025,KMTNet,0.04400000,13.98444991,0.8900000000,0.069000,268.4150000,-29.5603111,7620.00000000
MOA-2022-BLG-033L b,2025,MOA,0.03822818,12.15000000,2.1500000000,0.510000,272.8756667,-25.0530806,1840.00000000
MOA-2022-BLG-091L b,2025,MOA,3.59000000,1141.00398113,3.4400000000,0.750000,268.9422083,-32.3414389,4250.00000000
OGLE-2015-BLG-1609L b,2025,OGLE,0.24000000,76.27881768,,0.170000,270.8237917,-26.9071111,3300.00000000
OGLE-2016-BLG-0007L b,2025,OGLE,0.00415318,1.32000000,10.1000000000,0.590000,268.3560417,-29.6422500,4300.00000000
Gaia23braL b,2026,European Space Agency (ESA) Gaia Satellite,1.63000000,518.06030341,4.8470000000,0.774000,155.6294583,-63.2639167,4330.00000000
KMT-2016-BLG-1337L b,2026,KMTNet,0.28000000,88.99195396,3.9700000000,0.540000,269.1300417,-33.0341889,6920.00000000
KMT-2020-BLG-0202L b,2026,KMTNet,12.28000000,3902.93283796,4.1700000000,0.810000,267.0404583,-24.4744500,3840.00000000
KMT-2021-BLG-0852L b,2026,KMTNet,0.49000000,155.73591943,7.7800000000,0.750000,265.8311667,-33.8918389,7230.00000000
KMT-2022-BLG-1551L b,2026,KMTNet,2.96000000,940.77208472,2.2900000000,0.540000,265.2537500,-27.5518806,6900.00000000
KMT-2022-BLG-1818L b,2026,KMTNet,4.00000000,1271.31362800,2.6000000000,0.790000,270.7986250,-27.4811111,5300.00000000
KMT-2022-BLG-1818L c,2026,KMTNet,0.36000000,114.41822652,12.6000000000,0.790000,270.7986250,-27.4811111,5300.00000000
KMT-2023-BLG-0332L b,2026,KMTNet,22.00000000,6992.22495400,3.2000000000,0.540000,270.8901250,-27.2223889,6500.00000000
KMT-2023-BLG-0466L b,2026,KMTNet,3.25000000,1032.94232275,2.6800000000,0.440000,270.6100000,-33.0029694,6800.00000000
KMT-2023-BLG-1592L b,2026,KMTNet,0.58000000,184.34047606,3.9000000000,0.550000,268.6786667,-29.0084194,7200.00000000
KMT-2024-BLG-0176L b,2026,KMTNet,0.76000000,241.54958932,1.3200000000,0.103000,266.5324583,-34.2105806,8340.00000000
KMT-2024-BLG-0349L b,2026,KMTNet,11.86000000,3769.44490702,6.4600000000,0.680000,261.3715417,-30.2470194,5750.00000000
KMT-2024-BLG-1870L b,2026,KMTNet,1.06000000,336.89811142,3.1500000000,0.670000,272.4653333,-26.8828889,5480.00000000
KMT-2024-BLG-2005L b,2026,KMTNet,0.16000000,50.85254512,1.1200000000,0.120000,268.4080833,-28.9009806,7720.00000000
KMT-2024-BLG-2087L b,2026,KMTNet,4.39000000,1395.26670673,3.0300000000,0.480000,268.4500417,-29.2631889,7190.00000000
KMT-2025-BLG-0026L b,2026,KMTNet,2.13000000,676.97450691,0.9600000000,0.440000,261.7665000,-29.2740806,7280.00000000
KMT-2025-BLG-0030L b,2026,KMTNet,1.15000000,365.50266805,2.3500000000,0.600000,262.5867500,-29.4817306,6720.00000000
KMT-2025-BLG-0121L b,2026,KMTNet,7.77000000,2469.52672239,3.0500000000,0.610000,267.1583750,-23.9988000,6200.00000000
KMT-2025-BLG-0481L b,2026,KMTNet,0.59000000,187.51876013,2.1800000000,0.220000,265.3560000,-34.3717500,7980.00000000
KMT-2025-BLG-0975L b,2026,KMTNet,0.09376129,29.80000000,0.8100000000,0.100000,267.5743333,-30.5875000,7923.00000000
KMT-2025-BLG-1160L b,2026,KMTNet,0.07979148,25.36000000,2.5600000000,0.580000,268.8604583,-30.7249194,6580.00000000
KMT-2025-BLG-1616L b,2026,KMTNet,0.13315361,42.32000000,1.6000000000,0.260000,267.7788750,-30.1391111,7500.00000000
KMT-2025-BLG-2272L b,2026,KMTNet,2.47000000,785.03616529,3.8900000000,0.630000,269.5751667,-27.7738306,6620.00000000
MOA-2020-BLG-108L b,2026,MOA,10.67000000,3391.22910269,3.6900000000,0.580000,269.7155833,-26.9165083,5130.00000000
OGLE-2016-BLG-0261L b,2026,OGLE,0.21000000,66.74396547,0.7200000000,0.072000,267.8162083,-30.4085000,7850.00000000
OGLE-2023-BLG-0766L b,2026,OGLE,1.10000000,349.61124770,2.5000000000,0.390000,269.8296250,-28.3246889,7400.00000000
